time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006651,-0.0107,0.0096,0.0819,0.083
0.007598,-0.0060,0.0594,0.1267,0.140
0.008039,0.0344,0.0327,0.1928,0.199
0.008366,0.1128,-0.0484,0.1780,0.216
0.012051,-0.0469,-0.0316,0.0830,0.100
0.022715,-0.0322,-0.0148,-0.0301,0.047
0.023102,-0.0248,-0.0125,-0.1377,0.141
0.027625,-0.0866,-0.0125,-0.2043,0.222
0.034300,-0.0723,-0.0244,-0.2810,0.291
0.040712,-0.1301,-0.0004,-0.1887,0.229
0.041513,-0.1592,0.0520,-0.1327,0.214
0.046388,-0.1215,0.1447,-0.2107,0.283
0.052156,-0.1650,0.2441,-0.2289,0.373
0.057249,-0.0560,0.1858,-0.1519,0.246
0.062730,0.0098,0.0587,-0.0015,0.060
0.078520,-0.0436,-0.0320,0.0554,0.077
0.079185,-0.0324,-0.0985,-0.0001,0.104
0.079468,0.0169,-0.1026,-0.0625,0.121
0.085305,0.0658,-0.0782,-0.0819,0.131
0.087645,0.0523,-0.0181,-0.0275,0.062
0.093006,-0.0425,0.0227,-0.0398,0.063
0.096621,-0.0607,0.0346,-0.0331,0.077
0.101796,-0.1505,0.0180,-0.0693,0.167
0.106623,-0.2592,0.0062,-0.1293,0.290
0.111713,-0.2867,0.0159,-0.1679,0.333
0.133446,-0.2690,0.0256,-0.2064,0.340
0.134780,-0.2875,0.0592,-0.2211,0.367
0.135513,-0.2825,0.0831,-0.2168,0.366
0.136218,-0.1633,0.0878,-0.2747,0.331
0.150400,-0.0448,0.1117,-0.2872,0.311
0.151905,0.0901,0.1259,-0.2666,0.308
0.152641,0.2175,0.1281,-0.2653,0.366
0.173905,0.2755,0.1422,-0.2809,0.418
0.175069,0.3312,0.1157,-0.2442,0.427
0.175655,0.3751,0.0775,-0.2602,0.463
0.176187,0.3453,0.0752,-0.1859,0.399
0.176742,0.2824,0.0491,-0.1192,0.310
0.191696,0.1888,-0.0103,-0.0530,0.196
0.192852,0.0885,-0.0789,0.0128,0.119
0.193464,-0.0210,-0.1448,0.0689,0.162
0.194067,-0.1230,-0.1508,0.1057,0.221
0.202968,-0.1627,-0.0997,0.0973,0.214
0.204418,-0.1836,-0.0177,0.1011,0.210
0.217775,-0.1667,0.0591,0.1358,0.223
0.218894,-0.1333,0.0641,0.2111,0.258
0.219310,-0.1672,0.0214,0.2553,0.306
0.229030,-0.1868,-0.0235,0.2185,0.288
0.229878,-0.1611,-0.0516,0.2321,0.287
0.230959,-0.1118,-0.0699,0.1935,0.234
0.235700,-0.0700,-0.0620,0.2027,0.223
0.240960,-0.0237,-0.0661,0.1977,0.210
0.245963,0.0534,-0.0463,0.1978,0.210
0.251331,0.1088,-0.0314,0.2314,0.258
0.259618,0.1473,-0.0357,0.2533,0.295
0.260603,0.1715,-0.0424,0.2896,0.339
0.266200,0.2292,-0.0371,0.3189,0.394
0.271416,0.2895,-0.0391,0.3294,0.440
0.277615,0.3453,-0.0221,0.3234,0.474
0.280051,0.4158,0.0138,0.3155,0.522
0.284841,0.4485,0.0447,0.3295,0.558
0.290296,0.4771,0.0492,0.2987,0.565
0.295573,0.4657,0.0273,0.2711,0.540
0.301869,0.4406,0.0292,0.2394,0.502
0.305510,0.4831,0.0572,0.3302,0.588
0.310399,0.5335,0.1183,0.4787,0.726
0.314981,0.4867,0.1648,0.4819,0.705
0.320756,0.2664,0.1609,0.3046,0.435
0.326574,-0.0723,0.0807,0.0253,0.111
0.329915,-0.2454,-0.0420,-0.1338,0.283
0.335451,-0.3011,-0.1570,-0.1139,0.358
0.343587,-0.3045,-0.2119,0.0487,0.374
0.345310,-0.1437,-0.1830,0.2056,0.310
0.364155,0.1717,-0.1042,0.3928,0.441
0.365250,0.2023,-0.0806,0.3863,0.443
0.365719,0.0036,-0.1883,0.3276,0.378
0.366162,-0.1208,-0.2645,0.3219,0.434
