time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005709,0.3236,-0.1034,-0.4388,0.555
0.006488,0.3898,-0.1670,-0.3837,0.572
0.006971,0.5045,-0.1965,-0.3608,0.651
0.014417,0.6153,-0.1873,-0.3532,0.734
0.014966,0.6704,-0.1995,-0.3012,0.762
0.019095,0.6744,-0.2140,-0.1092,0.716
0.023936,0.6029,-0.3028,0.1465,0.690
0.027760,0.4722,-0.3707,0.5071,0.786
0.033080,0.3085,-0.4348,0.7915,0.954
0.039022,0.0830,-0.4837,0.9482,1.068
0.042670,-0.0728,-0.4483,0.9851,1.085
0.047823,-0.0798,-0.3220,0.8498,0.912
0.052310,-0.1819,-0.1902,0.6046,0.659
0.058003,-0.3605,-0.0524,0.2732,0.455
0.063529,-0.5138,0.1136,0.0557,0.529
0.067856,-0.5660,0.2843,-0.0442,0.635
0.103518,-0.5057,0.3506,-0.0132,0.616
0.105233,-0.3384,0.3319,0.0553,0.477
0.105957,-0.1670,0.2378,0.1495,0.327
0.106637,-0.0916,0.1639,0.1860,0.264
0.107315,-0.1111,0.1050,0.1867,0.241
0.108005,-0.1126,0.0371,0.1469,0.189
0.108644,-0.0480,-0.0327,0.0620,0.085
0.109315,0.0710,-0.0615,-0.0512,0.107
0.130051,0.2213,-0.0427,-0.1283,0.259
0.130885,0.3127,-0.0314,-0.1574,0.352
0.131194,0.2860,0.0150,-0.0932,0.301
0.131511,0.1486,0.0462,0.0141,0.156
0.133379,0.0030,0.0314,0.0617,0.069
0.140466,-0.0533,0.0044,0.0665,0.085
0.148472,-0.0115,-0.0200,0.0307,0.038
0.149182,0.0130,-0.0607,-0.0696,0.093
0.151955,0.0800,-0.1029,-0.1963,0.236
0.158015,0.1912,-0.1464,-0.2614,0.355
0.162866,0.3510,-0.1695,-0.2843,0.482
0.167163,0.5717,-0.2532,-0.2892,0.689
0.174513,0.8938,-0.3502,-0.2091,0.982
0.181069,1.1916,-0.4895,-0.2084,1.305
0.181702,1.3589,-0.5833,-0.1912,1.491
0.186747,1.3038,-0.6658,-0.1140,1.468
0.191870,1.0211,-0.6824,-0.2513,1.254
0.197755,0.7092,-0.6119,-0.1778,0.953
0.202195,0.3938,-0.4594,-0.1086,0.615
0.221208,-0.0718,-0.2463,-0.0272,0.258
0.223502,-0.4626,-0.0295,0.0735,0.469
0.224306,-0.7401,0.1866,0.1101,0.771
0.224938,-0.8393,0.3024,0.1063,0.898
0.229106,-0.7610,0.3783,0.0214,0.850
0.233134,-0.6417,0.3719,-0.0207,0.742
0.237982,-0.5793,0.2595,-0.0821,0.640
0.257059,-0.5202,0.1129,-0.1747,0.560
0.258194,-0.2697,-0.0515,-0.2315,0.359
0.258803,0.0903,-0.1984,-0.2431,0.327
0.259372,0.4391,-0.2881,-0.2212,0.570
0.266543,0.6514,-0.3166,-0.1990,0.751
0.267581,0.7589,-0.3059,-0.1571,0.833
0.286367,0.7811,-0.2491,-0.1430,0.832
0.287357,0.7344,-0.1989,-0.1615,0.778
0.287748,0.5921,-0.1141,-0.1482,0.621
0.288095,0.3133,-0.0638,-0.2062,0.380
0.300633,-0.0590,0.0220,-0.2519,0.260
0.301466,-0.3896,0.0577,-0.2549,0.469
0.303477,-0.5886,0.0440,-0.2322,0.634
0.317424,-0.6759,0.0194,-0.2319,0.715
0.318268,-0.6332,0.0604,-0.1822,0.662
0.318665,-0.5210,0.0928,-0.1597,0.553
0.321087,-0.4591,0.1381,-0.1307,0.497
0.332643,-0.3783,0.1724,-0.1667,0.448
0.333523,-0.2878,0.1907,-0.2700,0.438
0.336175,-0.0292,0.1310,-0.4211,0.442
0.360994,0.2507,0.0648,-0.6128,0.665
0.362554,0.4887,0.0012,-0.7590,0.903
0.362979,0.5452,0.0094,-0.8601,1.018
0.363323,0.3848,-0.0013,-0.8972,0.976
0.363584,0.1346,0.0238,-0.9659,0.976
0.370712,-0.1152,0.0585,-0.9155,0.925
0.371417,-0.2858,0.0668,-0.8513,0.900
0.381939,-0.4253,0.1178,-0.7517,0.872
0.382599,-0.5533,0.1587,-0.6476,0.866
0.386666,-0.5957,0.1349,-0.5678,0.834
0.398759,-0.6707,0.0989,-0.2685,0.729
0.399501,-0.6461,0.0338,0.0498,0.649
0.400922,-0.3574,-0.1320,0.1723,0.418
0.405306,0.0215,-0.3215,0.1327,0.348
0.417257,0.1758,-0.3609,0.2608,0.479
0.418037,0.1277,-0.3194,0.1027,0.359
0.420856,-0.0222,-0.2614,-0.1075,0.284
0.437275,-0.1361,-0.2104,-0.2312,0.341
0.438564,-0.1729,-0.2135,-0.5392,0.605
0.439169,-0.2639,-0.1938,-0.7210,0.792
0.441331,-0.3900,-0.1322,-0.8057,0.905
0.446604,-0.5887,-0.0457,-0.9894,1.152
0.450912,-0.9241,0.0370,-0.9876,1.353
0.467674,-1.3184,0.1252,-0.9460,1.628
0.469178,-1.7317,0.1946,-0.8357,1.933
0.470430,-1.9794,0.2406,-0.9814,2.222
0.474343,-1.7049,0.2845,-1.1152,2.057
0.496015,-1.1200,0.2641,-0.9625,1.500
0.498199,-0.5816,0.2270,-0.8531,1.057
0.499021,-0.1105,0.1878,-0.8205,0.849
0.500866,0.4178,0.1127,-0.6637,0.792
0.501635,1.5435,-0.2986,-0.8895,1.806
0.502457,1.7485,-0.4365,-1.0049,2.063
0.505690,1.3110,-0.3543,-0.8532,1.604
0.510794,0.7371,-0.2527,-0.7049,1.051
0.514963,0.2818,-0.1812,-0.8326,0.897
0.520468,0.1162,-0.2182,-0.9993,1.029
0.527188,-0.1858,-0.1096,-1.0003,1.023
0.530338,-0.5343,0.1058,-1.0195,1.156
0.534619,-0.7093,0.3160,-0.9904,1.259
0.546637,-0.8578,0.4684,-1.0370,1.425
0.549555,-0.7413,0.6163,-0.4889,1.081
0.550094,-0.5268,0.6831,-0.5913,1.046
0.554319,-0.2038,0.6379,-0.6762,0.952
0.559947,-0.0875,0.6860,-0.7504,1.020
0.564817,-0.0735,0.6890,-0.6570,0.955
0.569402,-0.1344,0.6768,-0.3927,0.794
0.590461,-0.2047,0.6149,0.0022,0.648
0.592013,-0.2455,0.5619,0.5810,0.845
0.592544,-0.2920,0.4888,1.0092,1.159
0.592840,-0.3861,0.4233,1.2834,1.405
0.596004,-0.5718,0.3940,1.2416,1.423
0.600142,-0.7606,0.3675,0.9729,1.288
0.605352,-1.0217,0.2995,0.5416,1.195
0.609904,-0.9548,0.4037,-0.1151,1.043
0.613891,-0.7356,0.5354,-0.6824,1.137
0.618979,-0.5445,0.6813,-1.2761,1.546
0.624427,-0.2358,0.7445,-1.7441,1.911
0.628976,-0.0205,0.7372,-2.0725,2.200
0.633930,0.1894,0.6642,-2.1994,2.305
0.639532,0.5539,0.2839,-2.2584,2.343
0.645259,0.7642,-0.4867,-2.2734,2.447
0.649348,0.3594,-0.9121,-2.0574,2.279
0.653812,-0.1405,-1.2713,-1.0923,1.682
0.659084,-0.1079,-1.6018,-0.3409,1.641
0.664553,0.2066,-1.5654,0.2286,1.595
0.669056,0.6163,-1.4961,0.4602,1.682
0.678008,0.8240,-1.2925,0.6754,1.675
0.680302,0.8232,-0.9966,0.9870,1.626
0.684148,0.5746,-0.5911,1.2032,1.459
0.688740,0.3801,-0.2568,0.8268,0.946
0.694798,0.1077,0.1365,0.5489,0.576
0.700090,-0.1491,0.3269,-0.0733,0.367
