time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006649,-0.0511,-0.6595,0.3753,0.761
0.007409,0.0917,-0.6181,0.4249,0.756
0.015053,0.0415,-0.5212,0.2720,0.589
0.015897,-0.1190,-0.3216,0.0297,0.344
0.018737,-0.3021,0.0575,-0.0259,0.309
0.031215,-0.4509,0.3042,-0.1861,0.575
0.031865,-0.5103,0.4795,-0.3649,0.790
0.034021,-0.5628,0.5895,-0.5442,0.980
0.048620,-0.5882,0.5972,-0.7033,1.094
0.049297,-0.5790,0.4969,-0.8073,1.111
0.049588,-0.4970,0.3370,-0.8096,1.008
0.053414,-0.3783,0.1941,-0.7139,0.831
0.066131,-0.1531,0.1481,-0.4683,0.514
0.066805,0.0556,0.1929,-0.2515,0.322
0.067069,0.1814,0.2230,-0.0793,0.298
0.081918,0.2641,0.2146,0.0368,0.342
0.082380,0.1642,0.1705,0.0738,0.248
0.082520,0.0307,0.1573,0.1821,0.243
0.093459,-0.0796,0.1196,0.3231,0.354
0.093766,-0.1258,0.1481,0.4757,0.514
0.097084,-0.0719,0.1660,0.7257,0.748
0.101997,0.0588,0.1609,0.9470,0.962
0.138504,0.2608,0.1424,1.0999,1.139
0.139201,0.4488,0.1481,1.1189,1.215
0.139478,0.6497,0.2092,0.8740,1.109
0.139742,0.8659,0.2094,0.8439,1.227
0.140006,1.0335,0.1066,0.8773,1.360
0.140491,1.1285,-0.0181,0.7053,1.331
0.140757,1.1025,-0.1356,0.4337,1.192
0.151265,1.0826,-0.2766,0.2220,1.139
0.151920,1.1162,-0.3337,0.0076,1.165
0.152191,1.1721,-0.3810,-0.1409,1.240
0.162048,1.2862,-0.4115,-0.1364,1.357
0.162411,1.3911,-0.4641,-0.1417,1.473
0.166639,1.4636,-0.5132,-0.2445,1.570
0.180871,1.4000,-0.4751,-0.3546,1.520
0.181441,1.1670,-0.4142,-0.2416,1.262
0.181722,0.8590,-0.3235,-0.0232,0.918
0.205310,0.5147,-0.2128,0.1936,0.590
0.206489,0.2342,-0.0965,0.4474,0.514
0.207119,0.0182,-0.0006,0.6764,0.677
0.207656,-0.1113,0.0821,0.9237,0.934
0.208380,-0.2346,0.1543,1.1159,1.151
0.218460,-0.3478,0.2353,1.2250,1.295
0.219372,-0.4586,0.2939,1.2896,1.400
0.232052,-0.5141,0.2679,1.3440,1.464
0.232865,-0.4452,0.2022,1.1149,1.217
0.233207,-0.4034,0.2239,0.6676,0.812
0.251456,-0.4333,0.2445,0.3623,0.616
0.252548,-0.4917,0.2432,0.1072,0.559
0.253100,-0.4049,0.2417,-0.0506,0.474
0.253628,-0.2833,0.2710,-0.1573,0.422
0.268389,-0.1576,0.2691,-0.1728,0.357
0.269368,-0.0138,0.2504,-0.1668,0.301
0.269855,0.1387,0.1603,-0.1179,0.243
0.284841,0.2286,0.0516,-0.0882,0.250
0.286154,0.1898,-0.0423,-0.0490,0.201
0.287050,-0.0078,-0.1215,-0.0505,0.132
0.287588,-0.2371,-0.1575,-0.1185,0.308
0.303407,-0.4148,-0.1882,-0.2503,0.520
