time,ax,ay,az,wx,wy,wz
2022-12-08 20:19:32.8280,0.34,-0.1,-0.86,0.08,0.11,-0.09
2022-12-08 20:19:32.8370,0.26,0.24,-1.03,0.1,0.18,-0.13
2022-12-08 20:19:32.8470,0.28,-0.9,-0.73,0.11,0.21,-0.14
2022-12-08 20:19:32.8580,0.28,-0.9,-0.73,0.1,0.16,-0.11
2022-12-08 20:19:32.8670,-0.42,0.01,0.05,0.1,0.03,-0.1
2022-12-08 20:19:32.8770,-0.42,0.01,0.05,0.09,0.01,-0.11
2022-12-08 20:19:32.8870,-0.24,0.57,0.06,0.1,0.1,-0.1
2022-12-08 20:19:32.8970,0.17,0.57,0.06,0.09,0.13,-0.09
2022-12-08 20:19:32.9070,0.43,0.29,0.22,0.07,0.15,-0.06
2022-12-08 20:19:32.9170,0.24,0.09,0.2,0.03,0.12,-0.02
2022-12-08 20:19:32.9270,0.03,0.35,0.34,-0.02,0.09,-0.01
2022-12-08 20:19:32.9370,-0.02,0.25,0.49,-0.07,0.06,0.01
2022-12-08 20:19:32.9470,0.08,0.24,0.43,-0.1,0.08,0.03
2022-12-08 20:19:32.9570,0.27,0.37,0.37,-0.13,0.11,0.06
2022-12-08 20:19:32.9670,0.27,0.37,0.37,-0.14,0.12,0.08
2022-12-08 20:19:32.9770,0.13,0.47,0.6,-0.14,0.1,0.1
2022-12-08 20:19:32.9870,0.07,0.75,0.89,-0.15,0.07,0.07
2022-12-08 20:19:32.9970,-0.21,0.53,0.65,-0.17,0.01,0.04
2022-12-08 20:19:33.0070,-0.62,-0.11,0.2,-0.19,-0.09,0.03
2022-12-08 20:19:33.0170,-0.77,-0.15,0.34,-0.23,-0.15,0.02
2022-12-08 20:19:33.0260,-0.51,0.04,0.28,-0.26,-0.16,0.01
2022-12-08 20:19:33.0370,0.0,0.03,0.22,-0.3,-0.13,0.02
2022-12-08 20:19:33.0470,0.22,0.09,0.29,-0.36,-0.14,0.03
2022-12-08 20:19:33.0560,0.09,0.24,0.43,-0.46,-0.2,0.04
2022-12-08 20:19:33.0660,0.03,0.26,0.68,-0.57,-0.25,0.1
2022-12-08 20:19:33.0770,0.13,0.0,0.72,-0.68,-0.28,0.22
2022-12-08 20:19:33.0860,0.44,-0.02,1.23,-0.8,-0.32,0.36
2022-12-08 20:19:33.0960,0.74,0.59,2.14,-0.91,-0.31,0.46
2022-12-08 20:19:33.1060,1.02,1.1229215133190156,1.87,-1.0,-0.24,0.57
2022-12-08 20:19:33.1170,1.06,1.12,1.87,-1.1,-0.33,0.74
2022-12-08 20:19:33.1260,0.73,1.18,2.06,-1.24,-0.53,0.89
2022-12-08 20:19:33.1360,0.08679782330989838,0.7,2.46,-1.35,-0.64,0.98
2022-12-08 20:19:33.1460,0.08,0.7,2.46,-1.43,-0.7,1.06
2022-12-08 20:19:33.1560,-0.34,-0.18,1.98,-1.48,-0.84,1.13
2022-12-08 20:19:33.1660,-0.61,-1.02,2.05,-1.54,-1.01,1.2
2022-12-08 20:19:33.1760,-0.67,-1.56,2.3,-1.58,-1.05,1.23
2022-12-08 20:19:33.1860,-0.43,-1.48,1.99,-1.55,-1.06,1.19
2022-12-08 20:19:33.1960,0.08,-0.93,1.87,-1.48,-1.02,1.14
2022-12-08 20:19:33.2060,0.39,-0.43,2.43,-1.32,-0.8,1.13
2022-12-08 20:19:33.2160,0.3,-0.37,4.27,-1.17,-0.57,1.08
2022-12-08 20:19:33.2260,0.58,-0.49,6.38,-0.93,-0.45,1.0
2022-12-08 20:19:33.2360,1.15,-0.6,6.26,-0.67,-0.41,0.94
2022-12-08 20:19:33.2450,1.63,-0.41,6.31,-0.47,-0.44,0.86
2022-12-08 20:19:33.2550,2.52,-0.18,6.67,-0.28,-0.41,0.79
2022-12-08 20:19:33.2650,2.87,0.29,5.85,-0.1,-0.47,0.67
2022-12-08 20:19:33.2750,3.06,0.63,5.74,0.04,-0.55,0.57
2022-12-08 20:19:33.2850,3.2,0.85,5.94,0.17,-0.6,0.46
2022-12-08 20:19:33.2950,3.0,1.0,5.31,0.26,-0.65,0.34
2022-12-08 20:19:33.3050,2.96,0.85,4.551181472539902,0.36,-0.72,0.28
2022-12-08 20:19:33.3150,3.09,1.04,4.55,0.46,-0.77,0.17
2022-12-08 20:19:33.3250,3.43,1.1,4.06,0.56,-0.75,-0.0
2022-12-08 20:19:33.3350,4.29,1.02,2.69,0.65,-0.7,-0.16
2022-12-08 20:19:33.3450,4.29,1.02,2.69,0.73,-0.66,-0.28
2022-12-08 20:19:33.3550,4.35,1.12,2.27,0.8,-0.6,-0.41
2022-12-08 20:19:33.3650,4.22,1.06,1.87,0.84,-0.54,-0.53
2022-12-08 20:19:33.3750,3.94,1.05,1.49,0.87,-0.49,-0.65
2022-12-08 20:19:33.3850,3.58,1.06,1.15,0.88,-0.47,-0.74
2022-12-08 20:19:33.3950,3.22,1.07,0.87,0.88,-0.46,-0.83
2022-12-08 20:19:33.4050,2.91,0.98,0.65,0.89,-0.47,-0.9
2022-12-08 20:19:33.4150,2.57,0.8,0.5907041439414025,0.91,-0.51,-0.96
2022-12-08 20:19:33.4250,2.15,0.46,0.59,0.94,-0.54,-1.02
