time,ax,ay,az,wx,wy,wz
2022-12-08 5:54:36.0530,-0.21,-1.01,-2.22,0.14,0.2,0.47
Time,-0.33,-0.39,-2.22,0.01,-0.04,0.45
2022-12-08 5:54:36.0720,-0.77,0.55,-1.03,-0.07,-0.28,0.37
2022-12-08 5:54:36.0820,-0.28,0.67,-0.45,-0.06,-0.44,0.23
2022-12-08 5:54:36.0920,-0.28,0.67,-0.45,0.02,-0.54,0.05
2022-12-08 5:54:36.1020,-0.04,0.55,0.01,0.2,-0.59,-0.11
2022-12-08 5:54:36.1120,0.06,0.27,0.42,0.42,-0.59,-0.21
2022-12-08 5:54:36.1220,-0.07,-0.08,0.44,0.59,-0.51,-0.27
2022-12-08 5:54:36.1320,-0.15,-0.5,0.04,0.61,-0.46,-0.25
2022-12-08 5:54:36.1420,-0.15,-0.5,0.04,0.49,-0.39,-0.16
2022-12-08 5:54:36.1520,-0.12,-0.34,-0.02,0.32,-0.29,-0.04
2022-12-08 5:54:36.1620,-0.08,-0.24,-0.24,0.2,-0.12,0.09
2022-12-08 5:54:36.1720,-0.16,-0.3,-0.47,0.1,0.06,0.22
2022-12-08 5:54:36.1820,-0.18,-0.09,-0.53,0.01,0.21,0.3
2022-12-08 5:54:36.1920,-0.18,-0.09,-0.53,-0.05,0.34,0.35
2022-12-08 5:54:36.2020,0.06,0.24,-0.68,-0.1,0.46,0.36
2022-12-08 5:54:36.2120,0.06,0.24,-0.68,-0.14,0.54,0.34
2022-12-08 5:54:36.2220,0.19,0.47,-0.71,-0.19,0.56,0.27
2022-12-08 5:54:36.2320,0.09,0.66,-0.5,-0.2,0.47,0.13
2022-12-08 5:54:36.2420,0.09,0.66,-0.5,-0.13,0.3,0.02
2022-12-08 5:54:36.2520,-0.29,0.68,-0.26,0.01,0.1,-0.05
2022-12-08 5:54:36.2620,-0.67,0.6,-0.01,0.2,-0.0,-0.05
2022-12-08 5:54:36.2720,-0.8887377490103245,0.53,-0.51,0.31,-0.05,-0.01
2022-12-08 5:54:36.2810,-0.82,0.64,-0.52,0.31,-0.09,0.06
2022-12-08 5:54:36.2910,-0.82,0.64,-0.52,0.23,-0.13,0.15
2022-12-08 5:54:36.3010,-0.69,0.78,-0.51,0.1,-0.17,0.21
2022-12-08 5:54:36.3110,-0.43,0.76,-0.45,-0.05,-0.23,0.23
2022-12-08 5:54:36.3210,-0.11,0.66,-0.2,-0.16,-0.27,0.22
2022-12-08 5:54:36.3310,0.18,0.62,0.06,-0.22,-0.27,0.18
2022-12-08 5:54:36.3410,0.46,0.59,0.25,-0.23,-0.2,0.1
2022-12-08 5:54:36.3510,0.67,0.49,0.26,-0.18,-0.03,0.03
2022-12-08 5:54:36.3610,0.71,0.47,0.07,-0.09,0.14,-0.02
2022-12-08 5:54:36.3710,0.59,0.53,-0.01,-0.0,0.29,-0.03
2022-12-08 5:54:36.3810,0.12,0.73,-0.31,0.06,0.42,-0.0
2022-12-08 5:54:36.3910,0.12,0.73,-0.31,0.07,0.49,0.06
2022-12-08 5:54:36.4010,-0.1,0.76,-0.63,0.08,0.48,0.15
2022-12-08 5:54:36.4110,-0.37,0.8,-0.8,0.07,0.4,0.24
2022-12-08 5:54:36.4210,-0.67,0.87,-0.96,0.01,0.23,0.29
2022-12-08 5:54:36.4310,-0.92,1.04,-0.85,-0.08,0.04,0.32
2022-12-08 5:54:36.4410,-0.97,1.3,-0.69,-0.17,-0.11,0.31
2022-12-08 5:54:36.4500,-0.97,1.37,-0.41169543743133546,-0.21,-0.16,0.3
2022-12-08 5:54:36.4610,-0.88,1.42,-0.42,-0.19,-0.15,0.28
2022-12-08 5:54:36.4710,-0.73,1.41,-0.09,-0.09,-0.07,0.25
2022-12-08 5:54:36.4800,-0.64,1.42,0.2,0.02,0.06,0.22
2022-12-08 5:54:36.4900,-0.53,1.43,0.26,0.07,0.16,0.21
