time,ax,ay,az,wx,wy,wz
2022-12-08 20:11:45.2450,0.33,-0.12,-0.51,0.01,-0.27,-0.04
Time,0.61,0.35,-0.38,0.08,-0.1,-0.06
2022-12-08 20:11:55.8830,0.62,0.42,-0.31,0.15,0.07,-0.06
2022-12-08 20:11:55.8920,0.4,0.33,-0.58,0.18,0.17,-0.05
2022-12-08 20:11:55.9020,0.4,0.33,-0.58,0.16,0.19,-0.03
2022-12-08 20:11:55.9120,0.11,0.22,-0.75,0.09,0.11,0.01
2022-12-08 20:11:55.9220,-0.18,0.04,-0.64,-0.01,-0.0,0.06
2022-12-08 20:11:55.9320,-0.32,0.05,-0.3,-0.11,-0.09,0.07
2022-12-08 20:11:55.9420,-0.24,0.18,0.42,-0.14,-0.16,0.05
2022-12-08 20:11:55.9520,-0.01,0.31,0.42,-0.09,-0.17,0.01
2022-12-08 20:11:55.9620,0.24,0.33,0.53,-0.01,-0.1,-0.03
2022-12-08 20:11:55.9720,0.4,0.26,0.41,0.04,0.01,-0.03
2022-12-08 20:11:55.9820,0.55,0.38,0.02,0.07,0.07,-0.03
2022-12-08 20:11:55.9920,0.52,0.51,0.03,0.09,0.05,-0.05
2022-12-08 20:11:56.0020,0.52,0.51,0.03,0.1,-0.0,-0.06
2022-12-08 20:11:56.0120,0.35,0.63,0.09,0.1,-0.02,-0.06
2022-12-08 20:11:56.0220,0.09,0.57,0.09,0.1,0.0,-0.04
2022-12-08 20:11:56.0320,-0.11,0.41,-0.01,0.08,0.05,-0.0
2022-12-08 20:11:56.0410,-0.21,0.07,0.12,0.04,0.1,0.03
2022-12-08 20:11:56.0520,-0.21,0.07,0.12,-0.02,0.14,0.06
2022-12-08 20:11:56.0610,-0.14,-0.02,0.31,-0.06,0.15,0.08
2022-12-08 20:11:56.0710,0.0,-0.02,0.55,-0.06,0.11,0.05
2022-12-08 20:11:56.0810,0.17,-0.18,0.77,-0.03,0.0,0.0
2022-12-08 20:11:56.0910,0.27,-0.24,1.03,-0.01,-0.12,-0.05
2022-12-08 20:11:56.1010,0.49,-0.24,1.24,0.01,-0.23,-0.08
