time,gFx,gFy,gFz,ax,ay,az
2022-12-08 18:28:50.7070,0.006,-0.161,-1.015,-0.66,-0.3,1.03
2022-12-08 18:30:01.1360,0.019,-0.175,-0.979,-0.93,-0.35,0.37
2022-12-08 18:30:01.1430,0.04,-0.189,-0.952,-1.03,-0.26,0.03
2022-12-08 18:30:01.1530,0.046,-0.201,-0.926,-1.21,-0.18,-0.23
2022-12-08 18:30:01.1630,0.047,-0.222,-0.898,-1.26,-0.13,-0.47
2022-12-08 18:30:01.1730,0.053,-0.241,-0.873,-1.27,0.0,-0.73
2022-12-08 18:30:01.1830,0.058,-0.25,-0.854,-1.34,0.12,-0.96
2022-12-08 18:30:01.1930,0.057,-0.249,-0.84,-1.39,0.13,-1.13
2022-12-08 18:30:01.2030,0.048,-0.238,-0.83,-1.4,0.07,-1.25
2022-12-08 18:30:01.2140,0.044,-0.228,-0.817,-1.34,-0.08,-1.33
2022-12-08 18:30:01.2230,0.064,-0.236,-0.828,-1.33,-0.21,-1.45
2022-12-08 18:30:01.2340,0.06,-0.24,-0.867,-1.57,-0.15,-1.33
2022-12-08 18:30:01.2430,0.025,-0.22,-0.876,-1.57,-0.13,-0.94
2022-12-08 18:30:01.2530,-0.001,-0.191,-0.85,-1.05,-0.64,-1.09
2022-12-08 18:30:01.2650,-0.004,-0.158,-0.816,-1.05,-0.64,-1.09
2022-12-08 18:30:01.2730,0.019,-0.126,-0.761,-1.04,-0.97,-1.43
2022-12-08 18:30:01.2840,0.042,-0.107,-0.705,-1.26,-1.27,-1.96
2022-12-08 18:30:01.2940,0.05,-0.142,-0.698,-1.46,-1.42,-2.52
2022-12-08 18:30:01.3030,0.068,-0.168,-0.701,-1.5,-1.0,-2.61
2022-12-08 18:30:01.3140,0.051,-0.19,-0.714,-1.65,-0.66,-2.62
2022-12-08 18:30:01.3240,0.015,-0.221,-0.741,-1.48,-0.32,-2.51
2022-12-08 18:30:01.3340,-0.038,-0.196,-0.759,-1.13,0.13,-2.29
2022-12-08 18:30:01.3440,-0.083,-0.162,-0.786,-0.64,0.05,-2.14
2022-12-08 18:30:01.3540,-0.133,-0.226,-0.84,-0.24,-0.12,-1.9
2022-12-08 18:30:01.3640,-0.166,-0.24,-0.866,0.17,0.67,-1.39
2022-12-08 18:30:01.3740,-0.173,-0.186,-0.838,0.41,0.95,-1.14
2022-12-08 18:30:01.3840,-0.157,-0.155,-0.834,0.39,0.56,-1.42
2022-12-08 18:30:01.3940,-0.125,-0.152,-0.871,0.15,0.38,-1.47
2022-12-08 18:30:01.4040,-0.113,-0.147,-0.894,-0.23,0.45,-1.11
2022-12-08 18:30:01.4140,-0.098,-0.138,-0.903,-0.39,0.48,-0.88
2022-12-08 18:30:01.4240,-0.092,-0.14,-0.933,-0.56,0.46,-0.8
2022-12-08 18:30:01.4340,-0.112,-0.141,-1.016,-0.6,0.52,-0.51
2022-12-08 18:30:01.4440,-0.149,-0.163,-0.933,-0.36,0.54,0.3
2022-12-08 18:30:01.4540,-0.156,-0.155,-0.898,0.03,0.76,-0.52
2022-12-08 18:30:01.4660,-0.164,-0.194,-0.929,0.15,0.68,-0.87
2022-12-08 18:30:01.4760,-0.077,0.023,-0.958,0.23,1.04,-0.57
2022-12-08 18:30:01.4840,-0.132,0.117,-1.033,-0.69,-1.14,-0.27
2022-12-08 18:30:01.4940,-0.12,-0.038,-1.19,-0.27,-2.15,0.49
2022-12-08 18:30:01.5040,-0.095,-0.073,-1.237,-0.58,-0.76,2.08
2022-12-08 18:30:01.5140,-0.205,-0.074,-1.245,-1.04,-0.58,2.61
2022-12-08 18:30:01.5240,-0.397,-0.115,-1.243,-0.19,-0.76,2.77
2022-12-08 18:30:01.5340,-0.344,-0.091,-1.143,1.48,-0.59,2.83
2022-12-08 18:30:01.5440,-0.238,-0.028,-0.949,0.75,-1.07,1.95
2022-12-08 18:30:01.5540,-0.465,-0.088,-0.863,-0.48,-1.93,0.16
2022-12-08 18:30:01.5640,-0.396,-0.067,-1.02,1.58,-1.6,-0.55
2022-12-08 18:30:01.5740,-0.327,-0.01,-0.962,0.75,-2.07,1.12
2022-12-08 18:30:01.5840,-0.381,0.025,-0.875,-0.08,-2.91,0.69
2022-12-08 18:30:01.5940,-0.474,-0.024,-0.808,0.32,-3.53,-0.02
2022-12-08 18:30:01.6040,-0.565,-0.149,-0.68,1.14,-3.27,-0.55
2022-12-08 18:30:01.6140,-0.605,-0.258,-0.677,1.97,-2.19,-1.71
2022-12-08 18:30:01.6240,-0.609,-0.395,-0.693,2.33,-1.22,-1.68
2022-12-08 18:30:01.6340,-0.594,-0.527,-0.728,2.36,0.07,-1.5
2022-12-08 18:30:01.6450,-0.6,-0.539,-0.773,2.25,1.33,-1.16
2022-12-08 18:30:01.6540,-0.574,-0.412,-0.78,2.38,1.44,-0.74
2022-12-08 18:30:01.6650,-0.54,-0.237,-0.759,2.2,0.19,-0.7
2022-12-08 18:30:01.6750,-0.462,-0.104,-0.728,1.92,-1.52,-0.93
2022-12-08 18:30:01.6850,-0.374,-0.026,-0.699,1.16,-2.83,-1.24
2022-12-08 18:30:01.6950,-0.33,0.003,-0.681,0.22,-3.6,-1.49
2022-12-08 18:30:01.7050,-0.311,-0.022,-0.671,-0.4,-3.88,-1.59
2022-12-08 18:30:01.7150,-0.323,-0.09,-0.666,-0.88,-3.64,-1.54
2022-12-08 18:30:01.7250,-0.344,-0.149,-0.617,-1.35,-2.42,-1.62
2022-12-08 18:30:01.7370,-0.398,-0.166,-0.528,-1.35,-2.42,-1.62
2022-12-08 18:30:01.7450,-0.568,-0.077,-0.405,-1.26,-2.26,-2.21
2022-12-08 18:30:01.7550,-0.766,0.096,-0.298,-0.03,-3.12,-3.1
2022-12-08 18:30:01.7650,-0.875,0.187,-0.277,1.47,-4.76,-3.8
2022-12-08 18:30:01.7750,-0.899,0.185,-0.37,2.1,-5.57,-3.63
2022-12-08 18:30:01.7850,-0.865,0.186,-0.498,1.93,-5.46,-2.34
2022-12-08 18:30:01.7950,-0.676,0.21,-0.527,1.22,-5.34,-0.7
2022-12-08 18:30:01.8050,-0.557,0.216,-0.498,-0.99,-5.42,-0.03
2022-12-08 18:30:01.8150,-0.637,0.268,-0.449,-2.47,-5.28,0.05
2022-12-08 18:30:01.8250,-0.696,0.303,-0.399,-1.99,-5.55,-0.06
2022-12-08 18:30:01.8350,-0.803,0.279,-0.393,-1.69,-5.62,-0.19
2022-12-08 18:30:01.8450,-0.92,0.236,-0.424,-0.89,-5.1,0.12
2022-12-08 18:30:01.8550,-1.026,0.201,-0.464,0.89,-3.75,1.54
2022-12-08 18:30:01.8670,-1.082,0.165,-0.488,1.28,-3.12,2.12
2022-12-08 18:30:01.8770,-1.084,0.166,-0.481,1.18,-2.85,2.36
2022-12-08 18:30:01.8870,-1.081,0.185,-0.421,1.18,-2.85,2.36
2022-12-08 18:30:01.8950,-1.082,0.184,-0.381,1.06,-2.75,2.04
2022-12-08 18:30:01.9050,-1.093,0.151,-0.38,1.0,-2.44,1.88
2022-12-08 18:30:01.9150,-1.118,0.125,-0.376,1.05,-1.82,2.07
2022-12-08 18:30:01.9250,-1.193,0.102,-0.378,1.26,-1.26,2.22
2022-12-08 18:30:01.9350,-1.296,0.056,-0.41,1.98,-0.72,2.39
2022-12-08 18:30:01.9450,-1.376,-0.002,-0.423,2.99,0.04,2.83
2022-12-08 18:30:01.9550,-1.423,-0.063,-0.415,3.78,0.89,3.07
2022-12-08 18:30:01.9650,-1.447,-0.121,-0.371,4.27,1.76,3.06
2022-12-08 18:30:01.9750,-1.448,-0.163,-0.334,4.53,2.59,2.69
2022-12-08 18:30:01.9850,-1.466,-0.192,-0.324,4.57,3.24,2.37
2022-12-08 18:30:01.9950,-1.486,-0.221,-0.333,4.79,3.75,2.3
2022-12-08 18:30:02.0050,-1.514,-0.262,-0.314,5.02,4.23,2.38
2022-12-08 18:30:02.0150,-1.523,-0.313,-0.267,5.34,4.81,2.17
2022-12-08 18:30:02.0250,-1.501,-0.358,-0.213,5.47,5.47,1.67
2022-12-08 18:30:02.0350,-1.509,-0.407,-0.16,5.29,6.02,1.09
2022-12-08 18:30:02.0460,-1.529,-0.464,-0.089,5.4,6.59,0.51
2022-12-08 18:30:02.0560,-1.56,-0.513,-0.081,5.62,7.21,-0.28
2022-12-08 18:30:02.0660,-1.567,-0.54,-0.063,5.95,7.72,-0.47
2022-12-08 18:30:02.0760,-1.567,-0.564,-0.007,6.03,7.98,-0.76
2022-12-08 18:30:02.0860,-1.522,-0.578,0.087,6.04,8.17,-1.44
2022-12-08 18:30:02.0960,-1.452,-0.575,0.204,5.6,8.23,-2.51
2022-12-08 18:30:02.1060,-1.359,-0.567,0.377,4.91,8.08,-3.8
2022-12-08 18:30:02.1160,-1.249,-0.556,0.544,3.99,7.88,-5.65
2022-12-08 18:30:02.1260,-1.154,-0.53,0.627,2.91,7.64,-7.42
2022-12-08 18:30:02.1360,-1.104,-0.482,0.58,1.97,7.25,-8.34
2022-12-08 18:30:02.1460,-1.107,-0.419,0.37,1.48,6.64,-7.97
2022-12-08 18:30:02.1560,-1.113,-0.35,0.17,1.5,5.88,-5.98
2022-12-08 18:30:02.1660,-1.19,-0.309,0.032,1.54,5.05,-4.08
2022-12-08 18:30:02.1760,-1.22,-0.212,-0.01,2.27,4.47,-2.75
2022-12-08 18:30:02.1860,-1.283,-0.015,0.036,2.54,3.3,-2.33
2022-12-08 18:30:02.1960,-1.171,0.126,-0.002,3.12,1.12,-2.77
2022-12-08 18:30:02.2060,-0.916,0.139,-0.06,1.99,-0.52,-2.36
2022-12-08 18:30:02.2160,-0.809,0.149,-0.185,-0.53,-0.89,-1.76
