time,gFx,gFy,gFz,ax,ay,az
,0.075,-0.105,-0.88,0.77,1.01,-1.37
2022-12-08 18:20:05.4820,0.067,-0.121,-0.877,0.53,0.9,-1.1
2022-12-08 18:20:05.4890,0.047,-0.139,-0.88,0.59,1.06,-1.13
2022-12-08 18:20:05.4990,0.019,-0.172,-0.893,0.75,1.24,-1.11
2022-12-08 18:20:05.5090,-0.014,-0.199,-0.909,0.98,1.55,-0.98
2022-12-08 18:20:05.5190,-0.033,-0.206,-0.923,1.28,1.79,-0.83
2022-12-08 18:20:05.5290,-0.03,-0.21,-0.94,1.43,1.84,-0.7
2022-12-08 18:20:05.5390,-0.017,-0.21,-0.952,1.38,1.87,-0.53
2022-12-08 18:20:05.5490,-0.007,-0.203,-0.945,1.24,1.84,-0.41
2022-12-08 18:20:05.5590,0.009,-0.209,-0.923,1.15,1.76,-0.48
2022-12-08 18:20:05.5690,0.016,-0.218,-0.901,1.02,1.8,-0.7
2022-12-08 18:20:05.5790,0.036,-0.223,-0.889,0.97,1.87,-0.91
2022-12-08 18:20:05.5890,0.071,-0.226,-0.888,0.79,1.91,-1.02
2022-12-08 18:20:05.5990,0.099,-0.23,-0.897,0.45,1.93,-1.03
2022-12-08 18:20:05.6090,0.097,-0.222,-0.897,0.18,1.97,-0.94
2022-12-08 18:20:05.6190,0.076,-0.215,-0.886,0.19,1.89,-0.94
2022-12-08 18:20:05.6290,0.078,-0.219,-0.9,0.37,1.83,-1.06
2022-12-08 18:20:05.6390,0.078,-0.221,-0.929,0.33,1.88,-0.92
2022-12-08 18:20:05.6490,0.08,-0.212,-0.956,0.32,1.92,-0.64
2022-12-08 18:20:05.6590,0.092,-0.201,-0.987,0.28,1.86,-0.37
2022-12-08 18:20:05.6690,0.097,-0.186,-1.01,0.14,1.78,-0.07
2022-12-08 18:20:05.6790,0.101,-0.172,-1.034,0.08,1.67,0.15
2022-12-08 18:20:05.6890,0.104,-0.166,-1.065,0.01,1.56,0.38
2022-12-08 18:20:05.6990,0.107,-0.181,-1.107,-0.06,1.53,0.68
2022-12-08 18:20:05.7090,0.109,-0.204,-1.163,-0.15,1.7,1.08
2022-12-08 18:20:05.7190,0.097,-0.216,-1.215,-0.25,1.94,1.63
2022-12-08 18:20:05.7290,0.065,-0.195,-1.236,-0.2,2.05,2.14
2022-12-08 18:20:05.7390,0.038,-0.167,-1.248,0.06,1.83,2.34
2022-12-08 18:20:05.7490,0.035,-0.145,-1.245,0.29,1.52,2.45
2022-12-08 18:20:05.7590,0.059,-0.143,-1.238,0.31,1.26,2.42
2022-12-08 18:20:05.7690,0.11,-0.154,-1.237,0.12,1.18,2.36
2022-12-08 18:20:05.7790,0.145,-0.163,-1.229,-0.31,1.23,2.36
2022-12-08 18:20:05.7900,0.145,-0.166,-1.227,-0.6,1.28,2.28
2022-12-08 18:20:05.7990,0.126,-0.17,-1.255,-0.55,1.28,2.27
2022-12-08 18:20:05.8090,0.109,-0.15,-1.289,-0.35,1.29,2.54
2022-12-08 18:20:05.8200,0.113,-0.11,-1.312,-0.19,1.08,2.88
2022-12-08 18:20:05.8300,0.122,-0.063,-1.306,-0.25,0.65,3.1
2022-12-08 18:20:05.8400,0.127,-0.02,-1.29,-0.37,0.13,3.05
2022-12-08 18:20:05.8500,0.13,0.005,-1.262,-0.47,-0.34,2.88
2022-12-08 18:20:05.8600,0.133,0.017,-1.224,-0.54,-0.67,2.61
2022-12-08 18:20:05.8700,0.137,0.015,-1.192,-0.61,-0.86,2.24
2022-12-08 18:20:05.8800,0.131,0.011,-1.162,-0.69,-0.94,1.93
2022-12-08 18:20:05.8900,0.108,0.01,-1.099,-0.68,-0.99,1.65
2022-12-08 18:20:05.9000,0.096,-0.006,-1.055,-0.49,-1.06,1.03
2022-12-08 18:20:05.9100,0.086,-0.041,-1.043,-0.4,-0.99,0.61
2022-12-08 18:20:05.9200,0.075,-0.069,-1.001,-0.34,-0.73,0.5
2022-12-08 18:20:05.9300,0.077,-0.087,-0.947,-0.25,-0.53,0.09
2022-12-08 18:20:05.9400,0.092,-0.111,-0.908,-0.29,-0.42,-0.43
2022-12-08 18:20:05.9500,0.104,-0.134,-0.877,-0.46,-0.24,-0.81
2022-12-08 18:20:05.9600,0.121,-0.137,-0.832,-0.6,-0.07,-1.1
2022-12-08 18:20:05.9700,0.15,-0.134,-0.792,-0.78,-0.08,-1.54
2022-12-08 18:20:05.9800,0.172,-0.135,-0.78,-1.1,-0.14,-1.93
2022-12-08 18:20:05.9900,0.174,-0.132,-0.805,-1.36,-0.15,-2.05
2022-12-08 18:20:06.0000,0.166,-0.126,-0.828,-1.43,-0.2,-1.8
2022-12-08 18:20:06.0100,0.151,-0.12,-0.845,-1.42,-0.27,-1.57
2022-12-08 18:20:06.0200,0.132,-0.12,-0.844,-1.32,-0.35,-1.4
2022-12-08 18:20:06.0300,0.119,-0.131,-0.839,-1.17,-0.38,-1.41
2022-12-08 18:20:06.0400,0.112,-0.153,-0.831,-1.07,-0.28,-1.46
2022-12-08 18:20:06.0500,0.111,-0.163,-0.793,-1.02,-0.1,-1.54
2022-12-08 18:20:06.0600,0.118,-0.168,-0.758,-1.03,-0.02,-1.9
2022-12-08 18:20:06.0700,0.13,-0.177,-0.746,-1.12,-0.01,-2.24
2022-12-08 18:20:06.0800,0.143,-0.173,-0.763,-1.28,0.06,-2.35
2022-12-08 18:20:06.0900,0.133,-0.159,-0.788,-1.43,0.0,-2.18
2022-12-08 18:20:06.1000,0.11,-0.159,-0.793,-1.36,-0.15,-1.94
2022-12-08 18:20:06.1100,0.09,-0.176,-0.789,-1.16,-0.19,-1.88
2022-12-08 18:20:06.1200,0.07,-0.201,-0.78,-0.98,-0.05,-1.91
2022-12-08 18:20:06.1300,0.088,-0.184,-0.753,-0.8,0.15,-1.99
2022-12-08 18:20:06.1400,0.097,-0.155,-0.732,-1.0,-0.05,-2.25
2022-12-08 18:20:06.1500,0.046,-0.216,-0.78,-1.13,-0.39,-2.44
2022-12-08 18:20:06.1600,0.044,-0.261,-0.824,-0.69,0.14,-1.96
2022-12-08 18:20:06.1710,0.049,-0.277,-0.804,-0.74,0.5,-1.51
2022-12-08 18:20:06.1810,0.032,-0.289,-0.79,-0.87,0.59,-1.69
2022-12-08 18:20:06.1910,0.009,-0.295,-0.784,-0.79,0.64,-1.81
2022-12-08 18:20:06.2000,0.019,-0.288,-0.781,-0.63,0.65,-1.85
2022-12-08 18:20:06.2110,0.043,-0.284,-0.791,-0.78,0.53,-1.87
2022-12-08 18:20:06.2210,0.052,-0.284,-0.83,-1.07,0.46,-1.75
2022-12-08 18:20:06.2310,0.049,-0.281,-0.883,-1.2,0.44,-1.36
2022-12-08 18:20:06.2410,0.051,-0.283,-0.918,-1.21,0.41,-0.84
2022-12-08 18:20:06.2510,0.044,-0.31,-0.954,-1.24,0.42,-0.5
2022-12-08 18:20:06.2610,0.023,-0.336,-0.98,-1.21,0.69,-0.14
2022-12-08 18:20:06.2710,-0.011,-0.351,-1.003,-1.03,0.95,0.12
2022-12-08 18:20:06.2810,-0.056,-0.361,-1.021,-0.73,1.1,0.35
2022-12-08 18:20:06.2910,-0.103,-0.37,-1.031,-0.34,1.2,0.52
2022-12-08 18:20:06.3010,-0.153,-0.366,-1.043,0.07,1.3,0.63
2022-12-08 18:20:06.3110,-0.194,-0.348,-1.077,0.5,1.27,0.74
2022-12-08 18:20:06.3210,-0.217,-0.329,-1.135,0.84,1.12,1.08
2022-12-08 18:20:06.3310,-0.225,-0.298,-1.178,1.04,0.98,1.64
2022-12-08 18:20:06.3410,-0.205,-0.26,-1.196,1.1,0.72,2.05
2022-12-08 18:20:06.3510,-0.171,-0.22,-1.221,0.9,0.43,2.21
2022-12-08 18:20:06.3610,-0.151,-0.175,-1.294,0.57,0.13,2.43
2022-12-08 18:20:06.3710,-0.148,-0.119,-1.406,0.39,-0.19,3.13
2022-12-08 18:20:06.3810,-0.153,-0.069,-1.512,0.36,-0.63,4.2
2022-12-08 18:20:06.3910,-0.15,-0.024,-1.579,0.42,-1.02,5.23
2022-12-08 18:20:06.4010,-0.152,0.008,-1.582,0.39,-1.39,5.87
2022-12-08 18:20:06.4110,-0.167,0.013,-1.525,0.41,-1.66,5.89
2022-12-08 18:20:06.4210,-0.192,-0.009,-1.414,0.56,-1.71,5.33
2022-12-08 18:20:06.4310,-0.245,-0.046,-1.287,0.79,-1.51,4.25
2022-12-08 18:20:06.4410,-0.32,-0.089,-1.182,1.31,-1.18,3.01
2022-12-08 18:20:06.4510,-0.395,-0.12,-1.113,2.04,-0.78,1.98
2022-12-08 18:20:06.4610,-0.462,-0.131,-1.069,2.77,-0.49,1.31
2022-12-08 18:20:06.4710,-0.495,-0.122,-1.029,3.45,-0.39,0.88
2022-12-08 18:20:06.4810,-0.474,-0.1,-0.997,3.8,-0.47,0.48
2022-12-08 18:20:06.4910,-0.405,-0.077,-0.952,3.65,-0.68,0.16
2022-12-08 18:20:06.5010,-0.315,-0.066,-0.888,3.05,-0.89,-0.29
2022-12-08 18:20:06.5110,-0.228,-0.07,-0.829,2.26,-0.98,-0.93
2022-12-08 18:20:06.5220,-0.163,-0.087,-0.808,1.49,-0.94,-1.52
2022-12-08 18:20:06.5310,-0.121,-0.116,-0.795,0.92,-0.76,-1.73
2022-12-08 18:20:06.5420,-0.109,-0.15,-0.762,0.56,-0.48,-1.86
2022-12-08 18:20:06.5520,-0.124,-0.166,-0.717,0.47,-0.16,-2.19
2022-12-08 18:20:06.5610,-0.147,-0.171,-0.682,0.63,-0.03,-2.62
2022-12-08 18:20:06.5710,-0.166,-0.18,-0.674,0.84,-0.02,-2.96
2022-12-08 18:20:06.5820,-0.182,-0.189,-0.68,0.99,0.02,-3.03
2022-12-08 18:20:06.5920,-0.197,-0.208,-0.681,1.11,0.07,-2.96
2022-12-08 18:20:06.6020,-0.232,-0.243,-0.69,1.22,0.19,-2.93
2022-12-08 18:20:06.6120,-0.258,-0.206,-0.664,1.52,0.47,-2.82
2022-12-08 18:20:06.6220,-0.265,-0.195,-0.651,1.72,0.01,-3.06
2022-12-08 18:20:06.6320,-0.251,-0.217,-0.635,1.73,-0.18,-3.16
2022-12-08 18:20:06.6420,-0.214,-0.224,-0.604,1.54,-0.06,-3.3
2022-12-08 18:20:06.6520,-0.178,-0.234,-0.563,1.12,-0.1,-3.56
2022-12-08 18:20:06.6620,-0.152,-0.242,-0.551,0.71,-0.12,-3.93
2022-12-08 18:20:06.6720,-0.135,-0.253,-0.557,0.39,-0.16,-4.02
2022-12-08 18:20:06.6820,-0.122,-0.252,-0.559,0.16,-0.16,-3.91
2022-12-08 18:20:06.6920,-0.107,-0.249,-0.563,-0.02,-0.28,-3.86
2022-12-08 18:20:06.7020,-0.088,-0.25,-0.568,-0.23,-0.41,-3.78
2022-12-08 18:20:06.7120,-0.073,-0.258,-0.581,-0.45,-0.47,-3.71
2022-12-08 18:20:06.7220,-0.052,-0.265,-0.619,-0.63,-0.46,-3.55
2022-12-08 18:20:06.7320,-0.03,-0.272,-0.668,-0.85,-0.43,-3.17
2022-12-08 18:20:06.7420,-0.012,-0.291,-0.712,-1.07,-0.37,-2.68
2022-12-08 18:20:06.7520,-0.008,-0.313,-0.755,-1.23,-0.17,-2.25
2022-12-08 18:20:06.7620,-0.018,-0.334,-0.807,-1.25,0.06,-1.84
2022-12-08 18:20:06.7720,-0.037,-0.365,-0.866,-1.11,0.31,-1.35
2022-12-08 18:20:06.7820,-0.059,-0.391,-0.917,-0.88,0.65,-0.79
2022-12-08 18:20:06.7920,-0.089,-0.428,-0.945,-0.63,0.96,-0.31
2022-12-08 18:20:06.8020,-0.122,-0.469,-0.96,-0.32,1.36,-0.06
2022-12-08 18:20:06.8120,-0.135,-0.475,-0.989,0.0,1.79,0.09
2022-12-08 18:20:06.8220,-0.132,-0.434,-1.068,0.09,1.86,0.37
2022-12-08 18:20:06.8320,-0.183,-0.432,-1.17,0.0,1.44,1.17
2022-12-08 18:20:06.8420,-0.2,-0.435,-1.227,0.44,1.38,2.19
2022-12-08 18:20:06.8520,-0.236,-0.514,-1.264,0.54,1.32,2.78
2022-12-08 18:20:06.8620,-0.188,-0.601,-1.234,0.81,1.97,3.2
2022-12-08 18:20:06.8720,-0.117,-0.644,-1.146,0.28,2.67,2.97
2022-12-08 18:20:06.8820,-0.071,-0.661,-1.03,-0.46,2.93,2.17
2022-12-08 18:20:06.8930,-0.052,-0.659,-0.897,-0.93,2.94,1.1
2022-12-08 18:20:06.9020,-0.038,-0.652,-0.834,-1.12,2.77,-0.15
2022-12-08 18:20:06.9120,-0.044,-0.68,-0.838,-1.27,2.59,-0.72
2022-12-08 18:20:06.9230,-0.081,-0.716,-0.926,-1.22,2.77,-0.64
2022-12-08 18:20:06.9320,-0.144,-0.731,-1.076,-0.86,3.07,0.25
2022-12-08 18:20:06.9420,-0.157,-0.69,-1.224,-0.24,3.16,1.75
2022-12-08 18:20:06.9530,-0.117,-0.619,-1.34,-0.11,2.7,3.23
2022-12-08 18:20:06.9630,-0.09,-0.565,-1.397,-0.49,1.92,4.41
2022-12-08 18:20:06.9730,-0.078,-0.539,-1.389,-0.77,1.29,5.01
2022-12-08 18:20:06.9830,-0.083,-0.547,-1.333,-0.9,0.91,5.0
2022-12-08 18:20:06.9930,-0.106,-0.577,-1.221,-0.88,0.84,4.53
2022-12-08 18:20:07.0030,-0.117,-0.603,-1.103,-0.7,0.98,3.53
2022-12-08 18:20:07.0130,-0.106,-0.614,-0.968,-0.66,1.08,2.47
2022-12-08 18:20:07.0230,-0.1,-0.622,-0.823,-0.83,1.04,1.25
2022-12-08 18:20:07.0330,-0.1,-0.63,-0.721,-0.95,0.98,-0.08
2022-12-08 18:20:07.0430,-0.115,-0.625,-0.66,-1.03,0.97,-1.0
2022-12-08 18:20:07.0530,-0.166,-0.605,-0.631,-0.95,0.85,-1.53
2022-12-08 18:20:07.0630,-0.231,-0.582,-0.647,-0.53,0.62,-1.77
2022-12-08 18:20:07.0730,-0.288,-0.578,-0.683,0.03,0.37,-1.59
2022-12-08 18:20:07.0830,-0.313,-0.558,-0.705,0.51,0.34,-1.22
2022-12-08 18:20:07.0930,-0.315,-0.505,-0.697,0.67,0.16,-0.98
2022-12-08 18:20:07.1030,-0.333,-0.423,-0.607,0.62,-0.34,-1.05
2022-12-08 18:20:07.1130,-0.339,-0.332,-0.511,0.75,-1.12,-1.93
2022-12-08 18:20:07.1230,-0.291,-0.283,-0.505,0.76,-1.99,-2.89
2022-12-08 18:20:07.1330,-0.243,-0.268,-0.498,0.26,-2.43,-2.95
2022-12-08 18:20:07.1430,-0.214,-0.245,-0.458,-0.27,-2.53,-3.03
2022-12-08 18:20:07.1530,-0.177,-0.194,-0.411,-0.61,-2.7,-3.45
2022-12-08 18:20:07.1630,-0.122,-0.144,-0.371,-1.01,-3.13,-3.94
2022-12-08 18:20:07.1730,-0.081,-0.133,-0.351,-1.61,-3.53,-4.36
2022-12-08 18:20:07.1830,-0.017,-0.175,-0.342,-2.08,-3.52,-4.61
2022-12-08 18:20:07.1930,0.057,-0.236,-0.346,-2.79,-2.98,-4.74
2022-12-08 18:20:07.2030,0.122,-0.295,-0.37,-3.62,-2.26,-4.74
2022-12-08 18:20:07.2130,0.191,-0.358,-0.422,-4.38,-1.57,-4.51
2022-12-08 18:20:07.2240,0.138,-0.34,-0.462,-5.2,-0.87,-4.0
2022-12-08 18:20:07.2330,-0.033,-0.179,-0.443,-4.87,-1.0,-3.55
2022-12-08 18:20:07.2430,-0.143,-0.039,-0.383,-3.44,-2.55,-3.63
2022-12-08 18:20:07.2530,-0.196,0.011,-0.289,-2.63,-3.92,-4.09
2022-12-08 18:20:07.2630,-0.154,0.007,-0.216,-2.4,-4.4,-4.87
2022-12-08 18:20:07.2730,-0.091,-0.022,-0.158,-3.11,-4.34,-5.41
2022-12-08 18:20:07.2830,-0.088,-0.019,-0.112,-4.07,-4.02,-5.78
2022-12-08 18:20:07.2940,-0.165,0.034,-0.076,-4.45,-3.99,-6.02
2022-12-08 18:20:07.3030,-0.3,0.122,-0.041,-4.07,-4.41,-6.14
2022-12-08 18:20:07.3130,-0.416,0.219,-0.003,-3.13,-5.15,-6.22
2022-12-08 18:20:07.3240,-0.48,0.307,0.025,-2.38,-5.92,-6.33
2022-12-08 18:20:07.3330,-0.551,0.402,0.023,-2.13,-6.56,-6.34
2022-12-08 18:20:07.3430,-0.623,0.492,-0.016,-1.79,-7.2,-6.05
2022-12-08 18:20:07.3530,-0.68,0.592,-0.088,-1.43,-7.74,-5.42
2022-12-08 18:20:07.3640,-0.745,0.687,-0.191,-1.19,-8.31,-4.46
2022-12-08 18:20:07.3740,-0.891,0.767,-0.328,-0.83,-8.8,-3.22
2022-12-08 18:20:07.3840,-1.118,0.854,-0.428,0.35,-9.12,-1.63
2022-12-08 18:20:07.3940,-1.303,0.957,-0.426,2.37,-9.51,-0.41
2022-12-08 18:20:07.4040,-1.392,1.047,-0.367,4.0,-10.09,-0.16
2022-12-08 18:20:07.4140,-1.375,1.135,-0.321,4.71,-10.59,-0.43
2022-12-08 18:20:07.4240,-1.291,1.214,-0.329,4.4,-11.06,-0.56
2022-12-08 18:20:07.4340,-1.205,1.286,-0.405,3.45,-11.46,-0.14
2022-12-08 18:20:07.4440,-1.143,1.321,-0.502,2.52,-11.75,0.97
2022-12-08 18:20:07.4540,-1.18,1.361,-0.583,1.85,-11.65,2.28
2022-12-08 18:20:07.4640,-1.325,1.438,-0.653,2.2,-11.56,3.43
2022-12-08 18:20:07.4740,-1.523,1.527,-0.682,3.66,-11.82,4.46
2022-12-08 18:20:07.4840,-1.703,1.601,-0.681,5.67,-12.2,5.06
2022-12-08 18:20:07.4940,-1.828,1.627,-0.668,7.55,-12.45,5.35
2022-12-08 18:20:07.5040,-1.892,1.621,-0.649,8.91,-12.24,5.48
