time,gFx,gFy,gFz,ax,ay,az
2022-12-08 18:25:03.7610,0.032,-0.366,-0.907,-0.08,0.15,-0.2
2022-12-08 18:26:01.0910,0.034,-0.373,-0.914,-0.21,0.13,-0.29
2022-12-08 18:26:01.1000,0.028,-0.374,-0.906,-0.18,0.2,-0.3
2022-12-08 18:26:01.1100,0.021,-0.369,-0.897,-0.18,0.2,-0.3
2022-12-08 18:26:01.1200,0.01,-0.361,-0.896,-0.11,0.16,-0.38
2022-12-08 18:26:01.1280,0.02,-0.365,-0.888,-0.01,0.09,-0.4
2022-12-08 18:26:01.1380,0.021,-0.361,-0.886,-0.12,0.1,-0.51
2022-12-08 18:26:01.1500,0.015,-0.354,-0.9,-0.12,0.1,-0.51
2022-12-08 18:26:01.1580,0.014,-0.355,-0.912,-0.07,0.06,-0.38
2022-12-08 18:26:01.1680,0.021,-0.361,-0.915,-0.06,0.08,-0.26
2022-12-08 18:26:01.1780,0.024,-0.359,-0.91,-0.13,0.14,-0.24
2022-12-08 18:26:01.1880,0.026,-0.357,-0.907,-0.16,0.13,-0.29
2022-12-08 18:26:01.1980,0.027,-0.358,-0.906,-0.18,0.12,-0.32
2022-12-08 18:26:01.2080,0.026,-0.359,-0.9,-0.19,0.15,-0.34
2022-12-08 18:26:01.2180,0.027,-0.36,-0.898,-0.19,0.17,-0.39
2022-12-08 18:26:01.2280,0.023,-0.362,-0.897,-0.19,0.19,-0.43
2022-12-08 18:26:01.2380,0.019,-0.368,-0.903,-0.16,0.24,-0.44
2022-12-08 18:26:01.2480,0.017,-0.37,-0.911,-0.12,0.31,-0.39
2022-12-08 18:26:01.2580,0.019,-0.368,-0.921,-0.11,0.35,-0.31
2022-12-08 18:26:01.2680,0.028,-0.363,-0.928,-0.12,0.36,-0.22
2022-12-08 18:26:01.2800,0.036,-0.356,-0.926,-0.22,0.32,-0.16
2022-12-08 18:26:01.2880,0.032,-0.354,-0.917,-0.3,0.27,-0.19
2022-12-08 18:26:01.2980,0.025,-0.362,-0.908,-0.19,0.36,-0.37
2022-12-08 18:26:01.3100,0.022,-0.366,-0.904,-0.19,0.36,-0.37
2022-12-08 18:26:01.3180,0.022,-0.364,-0.898,-0.17,0.41,-0.42
2022-12-08 18:26:01.3280,0.02,-0.366,-0.894,-0.17,0.41,-0.48
2022-12-08 18:26:01.3380,0.014,-0.367,-0.894,-0.15,0.44,-0.53
2022-12-08 18:26:01.3480,0.009,-0.374,-0.892,-0.09,0.47,-0.53
2022-12-08 18:26:01.3580,-0.017,-0.374,-0.889,-0.05,0.57,-0.56
2022-12-08 18:26:01.3680,-0.045,-0.361,-0.892,0.2,0.59,-0.6
2022-12-08 18:26:01.3780,-0.052,-0.368,-0.913,0.5,0.58,-0.38
2022-12-08 18:26:01.3900,-0.063,-0.374,-0.931,0.5,0.58,-0.38
2022-12-08 18:26:01.3980,-0.081,-0.356,-0.929,0.59,0.67,-0.21
2022-12-08 18:26:01.4080,-0.087,-0.342,-0.916,0.74,0.52,-0.24
2022-12-08 18:26:01.4180,-0.092,-0.336,-0.898,0.79,0.41,-0.38
2022-12-08 18:26:01.4280,-0.096,-0.334,-0.869,0.83,0.37,-0.56
2022-12-08 18:26:01.4380,-0.113,-0.334,-0.847,0.88,0.38,-0.85
2022-12-08 18:26:01.4480,-0.112,-0.357,-0.827,1.04,0.4,-1.08
2022-12-08 18:26:01.4580,-0.116,-0.382,-0.81,1.04,0.65,-1.28
2022-12-08 18:26:01.4680,-0.127,-0.384,-0.794,1.06,0.92,-1.46
2022-12-08 18:26:01.4780,-0.127,-0.384,-0.802,1.16,0.97,-1.62
2022-12-08 18:26:01.4880,-0.128,-0.377,-0.842,1.13,1.0,-1.55
2022-12-08 18:26:01.4980,-0.137,-0.369,-0.893,1.11,0.97,-1.17
2022-12-08 18:26:01.5080,-0.139,-0.356,-0.935,1.15,0.95,-0.68
2022-12-08 18:26:01.5190,-0.133,-0.34,-0.97,1.14,0.89,-0.29
2022-12-08 18:26:01.5280,-0.12,-0.319,-1.001,1.05,0.79,0.03
2022-12-08 18:26:01.5390,-0.119,-0.328,-1.035,0.89,0.66,0.32
2022-12-08 18:26:01.5490,-0.123,-0.343,-1.053,0.85,0.81,0.64
2022-12-08 18:26:01.5590,-0.132,-0.336,-1.038,0.84,1.01,0.8
2022-12-08 18:26:01.5690,-0.126,-0.316,-1.016,0.89,0.98,0.65
2022-12-08 18:26:01.5790,-0.121,-0.307,-0.977,0.79,0.82,0.43
2022-12-08 18:26:01.5890,-0.137,-0.252,-0.916,0.67,0.77,0.04
2022-12-08 18:26:01.5990,-0.153,-0.165,-0.878,0.73,0.26,-0.56
2022-12-08 18:26:01.6090,-0.224,-0.28,-0.902,0.81,-0.55,-0.94
2022-12-08 18:26:01.6190,-0.241,-0.316,-0.875,1.45,0.62,-0.7
2022-12-08 18:26:01.6290,-0.199,-0.262,-0.838,1.57,1.04,-0.98
2022-12-08 18:26:01.6390,-0.212,-0.239,-0.825,1.17,0.42,-1.49
2022-12-08 18:26:01.6510,-0.227,-0.24,-0.828,1.17,0.42,-1.49
2022-12-08 18:26:01.6590,-0.224,-0.218,-0.821,1.27,0.49,-1.47
2022-12-08 18:26:01.6690,-0.201,-0.229,-0.802,1.18,0.34,-1.54
2022-12-08 18:26:01.6810,-0.163,-0.256,-0.787,0.89,0.5,-1.73
2022-12-08 18:26:01.6890,-0.151,-0.329,-0.782,0.28,1.56,-1.93
2022-12-08 18:26:01.7010,-0.174,-0.417,-0.787,0.28,1.56,-1.93
2022-12-08 18:26:01.7090,-0.14,-0.419,-0.812,0.46,2.46,-1.88
2022-12-08 18:26:01.7190,-0.121,-0.363,-0.868,0.13,2.53,-1.64
2022-12-08 18:26:01.7290,-0.18,-0.313,-0.902,-0.03,2.02,-1.1
2022-12-08 18:26:01.7390,-0.226,-0.275,-0.926,0.61,1.59,-0.79
2022-12-08 18:26:01.7490,-0.202,-0.23,-0.989,1.13,1.29,-0.56
2022-12-08 18:26:01.7590,-0.16,-0.201,-0.973,0.99,0.9,0.03
2022-12-08 18:26:01.7690,-0.113,-0.205,-0.935,0.71,0.7,-0.15
2022-12-08 18:26:01.7790,-0.101,-0.226,-0.934,0.4,0.81,-0.55
